nation_name,industry_code,hscode,rnum,trgtpsnNo,trgtpsnCd,trgtpsnDtlCd,trgtpsnNm,rprsnt1Nm,biztyp1Cd,biztyp1CdNm,trgtpsn1EmpCnt,trgtpsnTelno,trgtpsn1Addr,fundDd,prod1Nm,hmpgAddr,insuUseYn,impYn,koreaCuYn,extrnlCstYn,packAbrdEntprYn,korNm,compscale,nation_name,industry_code,hscode,usdSaleAmt,trgtpsnFaxNo,evalDd,evalGrd,evalValidDd
미국,13225,630533,51,6004211195,450,344855,"Paper Bag Manufacturers, Inc.",Joseph Greenspan,13225,직물포대 제조업,17,1-3056851100,/4131 NW 132ND St/Opa Locka/Florida/Miami-Dade/United States/33054-4510,19940630,Mfg textile bags,www.paperbag.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,57,6004038583,450,314825,"Tom Bihn, Inc.",Thomas D Bihn,13225,직물포대 제조업,60,1-2066524123,/4750 Ohio Ave S # A/Seattle/Washington/King/United States/98134-2326,20020630,Mfg textile bags,www.tombihn.com,N,Y,Y,N,N,미국,D,미국,13225,630533,6690526.0,,,,
미국,13225,630533,54,6003080969,450,157316,"White Bag Company, Inc.",Greg Williams,13225,직물포대 제조업,25,1-5018351444,/8027 Highway 161/North Little Rock/Arkansas/Pulaski/United States/72117-1805,19510630,Mfg textile bags,www.whitebag.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,67,6004202870,450,343440,"Ace Bag & Burlap Company, Inc.",Joseph Rochman Senior,13225,직물포대 제조업,9,1-7183199300,/1601 Bronxdale Ave Frnt 4/Bronx/New York/Bronx/United States/10462-3364,19260630,Mfg textile bags,www.ace-bag.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,69,6003477173,450,218610,DOT Red New York Inc.,Gary Huang,13225,직물포대 제조업,4,1-2129978998,/250 W 39TH St Rm 308/New York/New York/New York/United States/10018-8239,20020630,Mfg textile bags,www.oxiostyle.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,70,6003751035,450,266632,"Enviro-Tote, Inc.",Nancy Sampo,13225,직물포대 제조업,38,1-6036477171,/15 Industrial Dr/Londonderry/New Hampshire/Rockingham/United States/03053-2009,19900630,Mfg textile bags,www.enviro-tote.com,N,Y,N,N,N,미국,D,미국,13225,630533,4535936.0,,,,
미국,13225,630533,63,6003763477,450,268707,H. G. Maybeck Co. Inc.,John Arapis,13225,직물포대 제조업,30,1-7182974410,/17930 93RD Ave Ste 2/Jamaica/New York/Queens/United States/11433-1405,19070630,Mfg textile bags,www.hgmaybeck.com,N,Y,N,N,N,미국,D,미국,13225,630533,3349111.0,,,,
미국,13225,630533,62,6003775899,450,270977,"Kool Pak, Inc",MARC ZINGLER,13225,직물포대 제조업,4,1-9549257744,/3100 NE 48TH St APT 918/Fort Lauderdale/Florida/Broward/United States/33308-4949,19800630,Mfg textile bags,www.koolpak.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,68,6003538961,450,229236,Milkdot Inc.,Janet Cho,13225,직물포대 제조업,1,1-9176717923,/301 E 90TH St APT 4C/New York/New York/New York/United States/10128-5278,20090630,Mfg textile bags,www.milkdot.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,64,6003257884,450,182812,"Redco Foods, Inc.",Gordon Boggis,13225,직물포대 제조업,5,1-8005566674,/1 Hansen Is/Little Falls/New York/Herkimer/United States/13365-1916,19850630,Mfg textile bags,www.redcofoods.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,66,6004166029,450,336735,Royal Impex,Lakshmi Mullaguru,13225,직물포대 제조업,1,1-8582486899,/15587 Camden Pl/San Diego/California/San Diego/United States/92131-4318,20090630,Mfg textile bags,,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,61,6003619363,450,243799,Urban Xplorer Brand Inc.,Yoshio Fujiwara,13225,직물포대 제조업,1,1-2099515553,/5441 Saint Andrews Dr/Stockton/California/San Joaquin/United States/95219-1918,20140630,Mfg textile bags,,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,65,6003030093,450,149111,Vortex Inc,Bill Crawley,13225,직물포대 제조업,15,1-8019782207,/8100 S 1300 W Ste D/West Jordan/Utah/Salt Lake/United States/84088-8307,19910630,Mfg textile bags,www.badlandsgear.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,72,6003445481,450,213274,"Bags Elite, Inc.",TOM JONES,13225,직물포대 제조업,20,1-9722797798,/3030 E Meadows Blvd/Mesquite/Texas/Dallas/United States/75150-6639,19850630,Mfg textile bags,www.bagselite.com,N,Y,N,N,N,미국,D,미국,13225,630533,4015473.0,,,,
미국,13225,630533,78,6003928001,450,297168,Bearse Manufacturing Co.,Thomas F Auer,13225,직물포대 제조업,100,1-7732358710,/3815 W Cortland St/Chicago/Illinois/Cook/United States/60647-4691,19210630,Mfg textile bags,www.bearseusa.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
미국,13225,630533,71,6003443925,450,212975,"Carry Gear Solutions, LLC",RENEE PITRA,13225,직물포대 제조업,14,1-2069576800,/2125 Western Ave Ste 300/Seattle/Washington/King/United States/98121-3137,20030630,Mfg textile bags,www.carrygear.com,N,Y,N,N,N,미국,D,미국,13225,630533,,,,,
